date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-02-02,11126.23,152.56,1.7312,1.006,2.68,31.57,1565,-0.2203,1.892,3.19,0.9484,94.0,0,0.0,,
2018-02-05,10946.25,150.69,2.0072,1.6347,3.77,15.78,1565,-1.2266,2.2194,1.06,1.5787,94.0,0,0.0,,
2018-02-06,10404.0,141.07,3.2315,5.4826,54.98,3.0,1566,-6.5153,6.5617,28.72,5.5837,94.0,0,0.0,,
2018-02-07,10551.54,144.37,2.2068,1.8842,6.0,78.16,1566,1.6869,2.4242,3.37,1.8978,89.0,0,0.0,,
2018-02-08,10528.52,143.11,2.2306,1.4137,4.79,37.04,1566,-0.7281,2.2785,3.3,1.383,91.0,0,0.0,,
2018-02-09,10371.75,141.57,2.3933,1.9252,6.39,20.0,1565,-0.4549,1.6473,1.11,1.673,90.0,0,0.0,,
2018-02-12,10421.09,141.83,2.4235,1.5888,6.39,59.45,1566,-0.0636,1.7133,3.37,1.305,89.0,0,0.0,,
2018-02-21,10714.44,145.9,2.4884,2.5834,13.22,87.99,1566,3.1267,3.2247,10.0,2.9671,90.0,13,9.05,5.69,-7.45
2018-02-22,10662.38,146.49,2.2328,1.3896,5.04,54.95,1567,0.7336,1.9499,3.3,1.2462,91.0,19,19.27,2.17,-7.2
2018-02-23,10794.55,147.62,2.24,1.4445,5.74,66.94,1567,0.2314,1.9512,4.35,1.2842,92.0,16,11.67,1.64,-6.08
2018-02-26,10836.7,148.57,2.2512,1.3493,5.23,55.39,1567,1.068,1.87,2.17,1.1556,92.0,16,16.67,1.09,-5.63
2018-02-27,10815.47,148.36,2.0996,1.2367,3.83,37.72,1567,-0.3792,1.7777,1.08,1.0824,93.0,14,15.3,1.9,-6.89
2018-03-01,10785.79,148.72,2.1698,1.2819,4.79,46.52,1567,0.8011,1.9285,5.43,1.197,92.0,14,9.85,1.38,-6.57
2018-03-02,10698.17,147.79,1.8725,1.1649,3.19,26.59,1568,-0.562,1.8922,2.15,1.0892,93.0,14,9.19,1.96,-7.71
2018-03-05,10642.9,146.69,2.428,1.5295,5.29,27.68,1568,-1.0592,2.4106,4.3,1.4089,93.0,14,9.17,2.08,-8.81
2018-03-06,10784.34,148.62,2.2193,1.2972,5.36,58.33,1567,1.0873,1.9718,2.15,1.0672,93.0,14,8.93,1.96,-7.28
2018-03-07,10745.32,149.01,2.4511,1.4182,5.49,34.78,1567,-0.2771,2.2474,4.3,1.1709,93.0,15,10.19,1.74,-6.39
2018-03-08,10823.24,150.27,2.3161,1.3608,5.87,58.58,1567,1.0753,2.2285,6.38,1.1486,94.0,16,12.18,1.53,-5.88
2018-03-09,10864.82,150.69,2.3352,1.3925,5.74,45.31,1567,-0.1832,1.9551,2.13,1.1698,94.0,14,10.47,1.74,-5.34
2018-03-12,11002.1,152.24,2.3572,1.4497,5.42,50.03,1567,0.5169,1.9663,4.26,1.3305,94.0,12,7.51,3.44,-5.21
2018-03-13,11095.63,153.33,1.9971,1.2414,3.76,56.82,1568,0.419,1.5846,2.13,1.1294,94.0,14,9.27,1.2,-4.28
2018-03-14,11038.8,153.48,1.9519,1.1424,3.19,42.47,1568,0.3143,1.5609,2.13,0.9944,94.0,14,9.02,1.21,-4.95
2018-03-15,11018.45,154.27,2.1199,1.2167,4.46,49.87,1568,0.5745,1.6847,3.19,0.9902,94.0,13,10.02,1.43,-4.15
2018-03-16,11027.7,154.29,2.065,1.2354,3.51,36.54,1568,-0.4775,1.7293,1.05,1.2111,95.0,13,11.12,1.73,-4.14
2018-03-19,11046.9,154.53,2.2033,1.3129,4.53,44.52,1568,0.9361,1.9049,3.16,1.1075,95.0,18,15.9,1.9,-3.61
2018-03-20,11010.84,154.47,2.0705,1.1887,3.76,32.27,1568,0.1949,1.9816,4.17,1.053,96.0,17,15.87,1.95,-3.88
2018-03-21,11011.07,154.84,2.2368,1.2743,5.42,46.36,1568,0.6043,2.2656,5.26,1.1224,95.0,18,17.08,1.84,-3.87
2018-03-22,11005.84,153.49,2.1896,1.4662,5.04,24.74,1568,-1.5146,2.8599,3.16,1.279,95.0,16,13.92,2.8,-5.13
